Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
https://duckduckgo.com/,50,504,484,561,570,691,421,691,0.000%,1.01049,1097.24,7.07
Open the browser,50,504,484,561,570,691,421,691,0.000%,1.01047,1097.22,7.07
https://duckduckgo.com/ac/?q=c&kl=wt-wt,50,77,73,96,106,127,58,127,0.000%,1.01785,2.61,0.42
https://duckduckgo.com/ac/?q=cu&kl=wt-wt,50,82,76,106,109,134,64,134,0.000%,1.01760,2.63,0.42
https://duckduckgo.com/ac/?q=cute&kl=wt-wt,50,78,71,98,103,140,59,140,0.000%,1.01848,2.63,0.43
https://duckduckgo.com/ac/?q=cute+a&kl=wt-wt,50,76,72,90,103,123,61,123,0.000%,1.01858,2.68,0.43
https://duckduckgo.com/ac/?q=cute+ani&kl=wt-wt,50,77,73,89,101,176,56,176,0.000%,1.01833,2.67,0.43
https://duckduckgo.com/ac/?q=cute+anim&kl=wt-wt,50,75,71,100,106,124,57,124,0.000%,1.01837,2.68,0.43
https://duckduckgo.com/ac/?q=cute+animal&kl=wt-wt,50,75,70,94,108,132,63,132,0.000%,1.01937,2.70,0.43
https://duckduckgo.com/ac/?q=cute+animal+&kl=wt-wt,50,76,71,93,106,150,60,150,0.000%,1.01939,2.71,0.43
https://duckduckgo.com/ac/?q=cute+animal+v&kl=wt-wt,50,73,70,87,93,113,61,113,0.000%,1.01945,2.74,0.44
https://duckduckgo.com/ac/?q=cute+animal+vi&kl=wt-wt,50,74,71,85,87,112,58,112,0.000%,1.01862,2.74,0.44
https://duckduckgo.com/ac/?q=cute+animal+vide&kl=wt-wt,50,79,73,112,118,152,63,152,0.000%,1.01866,2.75,0.44
https://duckduckgo.com/ac/?q=cute+animal+videps&kl=wt-wt,50,79,75,99,108,127,59,127,0.000%,1.01854,2.75,0.44
https://duckduckgo.com/ac/?q=cute+animal+videp&kl=wt-wt,50,76,75,87,89,112,65,112,0.000%,1.01850,2.74,0.44
https://duckduckgo.com/ac/?q=cute+animal+video&kl=wt-wt,50,76,72,91,95,126,65,126,0.000%,1.01872,2.74,0.44
https://duckduckgo.com/ac/?q=cute+animal+videos&kl=wt-wt,50,75,70,102,102,124,58,124,0.000%,1.01893,2.74,0.44
https://duckduckgo.com/?q=cute+animal+videos&t=h_,50,665,648,811,823,853,375,853,4.000%,.83271,1888.27,7.85
https://duckduckgo.com/country.json,95,33,29,47,56,64,21,117,0.000%,1.36310,2.79,0.50
https://duckduckgo.com/y.js?ifu=%7B3%7Dappid%3D055AAD1BA669BEB8B048128DC89A107C678B527B%26rguid%3Dd99d9fa7c5084c6f8692f5cc5ef85247&iurl=%7B2%7DIG%3D11962A7BD65D4C0AAF2989E1BFD04F28%26CID%3D2E5CAC242BA96A0F2E3DBEFC2AD66B7C%26Type%3DEvent.CPT%26DATA%3D0&impr=1m%3A5,48,116,101,159,227,249,90,249,0.000%,.80541,1.68,0.48
Search for cute animal videos,48,1978,1961,2115,2244,2348,1736,2348,0.000%,.59218,1385.47,9.94
https://duckduckgo.com/ac/?q=f&kl=uk-en,48,78,76,87,95,121,61,121,0.000%,.80573,2.07,0.33
https://duckduckgo.com/ac/?q=fu&kl=uk-en,48,81,73,100,108,163,60,163,0.000%,.80583,2.09,0.34
https://duckduckgo.com/ac/?q=funn&kl=uk-en,48,77,71,94,115,137,59,137,0.000%,.80548,2.08,0.34
https://duckduckgo.com/ac/?q=funny&kl=uk-en,48,82,75,107,114,160,64,160,0.000%,.80545,2.08,0.34
https://duckduckgo.com/ac/?q=funny+&kl=uk-en,48,78,72,105,113,131,62,131,0.000%,.80533,2.09,0.34
https://duckduckgo.com/ac/?q=funny+v&kl=uk-en,48,80,73,107,123,138,62,138,0.000%,.80521,2.14,0.34
https://duckduckgo.com/ac/?q=funny+vi&kl=uk-en,48,79,70,107,115,145,63,145,0.000%,.80568,2.13,0.34
https://duckduckgo.com/ac/?q=funny+vide&kl=uk-en,48,81,76,102,109,132,61,132,0.000%,.80572,2.14,0.34
https://duckduckgo.com/ac/?q=funny+videos&kl=uk-en,48,75,72,96,101,126,60,126,0.000%,.80561,2.14,0.34
https://duckduckgo.com/?q=funny+videos&t=h_,48,264,244,330,405,510,158,510,2.083%,.79132,37.26,7.89
https://duckduckgo.com/y.js?ifu=%7B3%7Dappid%3D055AAD1BA669BEB8B048128DC89A107C678B527B%26rguid%3De49d0d32167d43578b0265ea1a005b3f&iurl=%7B2%7DIG%3D73471FC3C3AF4B76A9B85D534AC5ED7E%26CID%3D1F72DCA004E4625B202DCE7805A963D2%26Type%3DEvent.CPT%26DATA%3D0&impr=2m%3A27%7C6m,47,119,104,144,240,366,89,366,0.000%,.77450,1.62,0.46
Search for funny videos,47,1136,1126,1233,1341,1457,952,1457,0.000%,.67199,50.21,9.92
TOTAL,1665,211,76,523,1058,2014,21,2348,0.180%,18.10471,3735.67,40.68
