Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
https://blazedemo.com/,100,834,819,956,1037,1118,662,1141,0.000%,9.25840,2604.30,46.62
https://blazedemo.com/reserve.php,100,456,421,586,628,700,358,735,0.000%,1.96325,15.91,8.54
Find flights,100,456,421,586,628,700,358,735,0.000%,1.34483,10.90,5.85
https://blazedemo.com/purchase.php,100,472,428,628,643,722,364,735,0.000%,1.65612,12.42,7.28
Select A flight,100,472,428,628,643,722,364,735,0.000%,1.47988,11.10,6.51
https://blazedemo.com/confirmation.php,100,424,403,496,567,623,365,669,0.000%,1.65489,10.90,9.89
Pay the flight,100,424,403,496,567,623,365,669,0.000%,1.65464,10.90,9.88
TOTAL,700,506,431,766,859,1027,358,1141,0.000%,7.51549,349.65,37.02
